# Comprehensive Title Mapping for Theatre Files
# Generated: 158 titles need improvement
# Format: filename | suggested_title

anchor-line.js | Anchor Line
arc-point-line-alt.js | Catenary Curve Chain
arc-pointlist-another-alt.js | Arc Path Through Points
bilko-twelve.js | Bilko Twelve
bisect-example.js | Bisect Example
blob-example.js | Spring Physics System
blur-example.js | Blur Example
bridged-line.js | Bridged Line
bridged-loop.js | Bridged Loop
brownian.js | Brownian
brush-alpha.js | Spring Physics System
bubble-box-example.js | Bubble Box Example
candle-flame-shape.js | Draggable Bezier Curve
catenary-2.js | Spoiler. It's broke.
catenary-example.js | Catenary Curve Chain
chars-example.js | Chars Example
classy-flower.js | Gradient Color Effect
click-create-2.js | Click Create 2
click-create-example.js | Point Following Behavior
click-draw-line-box.js | Create a bounding box by click-dragging a selection.
clip-draw-star.js | Gradient Color Effect
clock-face-raw.js | Clock Face Display
cluster-2.js | Point Clustering Animation
cluster.js | Point Clustering Animation
color-bits-example.js | Pseudo-3D Rendering
com-example-no-stage.js | Center of Mass Calculation
com-main-raw.js | Center of Mass Calculation
connect-lights.js | Grid Layout System
control-points-2.js | Control Points 2
curve-angles.js | Draggable Bezier Curve
disc-elipse-2.js | Pseudo-3D Rendering
disc-elipse.js | Pseudo-3D Rendering
disc-ellipse.js | Pseudo-3D Rendering
disc-points.js | Pseudo-3D Rendering
draggable-bounding-box.js | Draggable Bounding Box
draggable-ngon-example.js | Draggable Ngon Example
draw-line.js | Draw Line
easing-example.js | Spring Collision Response
egg-2.js | Draggable Bezier Curve
egg-4-5.js | Draggable Bezier Curve
egg-4-6.js | Draggable Bezier Curve
egg-4.js | Egg 4
egg-6.js | Pseudo-3D Rendering
egg.js | Draggable Bezier Curve
ellipse-example-2.js | Ellipse Example 2
ellipse-example-3.js | Ellipse Example 3
ellipse-example-4.js | Ellipse Example 4
ellipse-example.js | Ellipse Example
emitter-2.js | Particle Emitter
emitter-3.js | Particle Emitter
emitter-4.js | Particle Emitter
emitter-5.js | Particle Emitter
emitter-6.js | Particle Emitter
emitter.js | Particle Emitter
flapper.js | Flapper
flower-2.js | Draggable Bezier Curve
flower-fill.js | Draggable Bezier Curve
flower.js | Draggable Bezier Curve
follow-no-gravity.js | Follow Point with Gravity
follow-track-points.js | Point Following Behavior
four-point-drawarc-loop.js | Gradient Color Effect
four-point-drawarc.js | Spring-Based Rope Physics
fps-example.js | Fps Example
gradient-example.js | Gradient Color Effect
grid-example.js | Grid Layout System
hue-point.js | Hue Point
hut-example.js | Spring Physics System
hyperway-stepper-example.js | Hyperway Stepper Example
iterator-example.js | An iterator can automatically count between a range.
jelly-example.js | Jelly Example
jiggle-double.js | Jiggle Double
jiggle-plain.js | Jiggle Plain
jiggle-pointlist.js | Jiggle Pointlist
jiggle.js | Jiggle
label-example-2.js | Label Example 2
label-example.js | Gradient Color Effect
lerp-pointlist-value-only.js | Grid Layout System
line-connected-main.js | Catenary Curve Chain
line-rider-splits.js | Point Split Operation
lines-multi-examples.js | Spring Collision Response
lookat-example.js | Lookat Example
minimal-add-example.js | Minimal Add Example
minimal-example.js | Minimal Example
mirror-class-example.js | Mirror Class Example
mirror-example.js | Mirror Example
motion-line-example.js | Motion Line Example
motion-two-line.js | Motion Two Line
near-point-example.js | Grid Layout System
neural-net-rendering.js | A quick example for generating a standard neural net.
ngon-example.js | Ngon Example
objects/balloon.js | Objects/Balloon
objects/sphere.js | Objects/Sphere
objects/tetra.js | Objects/Tetra
objects/vectors/physics.js | Objects/Vectors/Physics
objects/vectors/ship.js | Objects/Vectors/Ship
onclick-example.js | Onclick Example
overlap-example.js | Grid Layout System
pendulum-point-example.js | Pendulum Point Example
phat-leg-example.js | Phat Leg Example
planets.js | Gradient Color Effect
plotter-cos-sin.js | Plotter Cos Sin
plotter-raw.js | Plotter Raw
point-example-raw.js | Point Example Raw
polygon-bunkbed.js | Polygon Bunkbed
potter-dual-lines.js | Potter Dual Lines
quadratic-example.js | Quadratic Example
rainbow-arc-pointlist-another.js | Rainbow Colored Arc Path
ray-example.js | Ray Example
rectangle-example.js | Rectangle Example
recttools-example.js | Recttools Example
reflect-1.js | Reflect 1
reflect-2.js | Reflect 2
reflect-3.js | Point Collision Detection
rotate-selection.js | Create a bounding box by click-dragging a selection.
rotation-field.js | Grid Layout System
shuffled-grid.js | Grid Layout System
sin-wave-plot.js | Sin Wave Plot
sinewave.js | Sinewave
speed-2.js | Speed 2
spin-plotter-2.js | Spin Plotter 2
spin-plotter.js | Spin Plotter
splatout-stack.js | Splatout Stack
splatout.js | Splatout
split-2.js | Point Split Operation
split-another.js | Point Split Operation
split-zip.js | Zipper Split Effect
split.js | Point Split Operation
spray-brush.js | Spray Brush
squares-ngon-box.js | Squares Ngon Box
stacks.js | Stacks
stage-center-example.js | Stage Center Example
stage-example.js | Stage Example
stamping.js | Stamping
straight-line-connected-main.js | Point Collision Detection
stroke-example.js | Stroke Example
subdivide.js | Grid Layout System
sun.js | Gradient Color Effect
svg-example.js | Svg Example
tangent-2.js | Tangent 2
tangent-3.js | Pseudo-3D Rendering
tangent-derivative.js | Draggable Bezier Curve
tangent.js | https://www.youtube.com/watch?v=m1zmWiboxzU
text-aligned-example.js | Point Collision Detection
text-example-2.js | Point Following Behavior
text-example-raw.js | Gradient Color Effect
text-simple-example.js | Text Simple Example
three-point-drawarc.js | Gradient Color Effect
timeit-example.js | Point Following Behavior
timeline-example.js | A timeline should have keyframes - tl = new Timeline()
trail.js | Trail
turtle.js | Turtle
utils/snapshots.js | Utils/Snapshots
vad-example.js | Vad Example
vector-field.js | Grid Layout System
widget-examples.js | Widget Examples
windings-example-raw.js | Windings Example Raw
windings-example.js | Windings Example
within-polygon-test.js | Within Polygon Test
