# Comprehensive Title Mapping - Curated from Content Analysis
# Format: filename | suggested_title

# Poor/Generic titles that need improvement
rainbow-arc-pointlist-another.js | Rainbow Arc Through Points
rainbow-arc-pointlist.js | Rainbow Gradient Arc Path
bilko-twelve.js | Bezier Egg Shape with Control Points
bisect-example.js | Angle Bisector Visualization
blob-example.js | Soft-Body Blob Physics
brush-alpha.js | Alpha Brush Stroke Drawing
candle-flame-shape.js | Flame Teardrop Shape Generator
catenary-2.js | Catenary Solver (Experimental)
classy-flower.js | Gradient Flower Pattern
click-create-2.js | Click to Create Connected Points
click-create-example.js | Click-Drag Point Creation
color-bits-example.js | Pseudo-3D Color Depth
com-example-no-stage.js | Center of Mass Without Stage
com-main-raw.js | Center of Mass Raw Calculation
connect-lights.js | Connected Light Points Grid
control-points-2.js | Bezier Control Point Manipulation
curve-angles.js | Curve Angle Visualization
disc-elipse-2.js | Ellipse Disc Projection V2
disc-elipse.js | Ellipse Disc Projection
disc-ellipse.js | Elliptical Disc Rendering
disc-points.js | Points on Disc Surface
draggable-bounding-box.js | Click-Drag Bounding Box
draggable-ngon-example.js | Draggable Polygon Shape
draw-line.js | Interactive Line Drawing
egg-2.js | Egg Shape with Bezier Curves V2
egg-4-5.js | Egg Shape Variant 4-5
egg-4-6.js | Egg Shape Variant 4-6
egg-4.js | Egg Shape Variant 4
egg-6.js | Egg Shape with 3D Effect
egg.js | Parametric Egg Shape
emitter-2.js | Particle Emitter System V2
emitter-3.js | Particle Emitter System V3
emitter-4.js | Particle Emitter System V4
emitter-5.js | Particle Emitter System V5
emitter-6.js | Particle Emitter System V6
emitter.js | Basic Particle Emitter
flapper.js | Flapping Wing Animation
flower-2.js | Flower Petal Pattern V2
flower-fill.js | Filled Flower Shape
flower.js | Flower Petal Pattern
follow-no-gravity.js | Point Following Without Gravity
follow-track-points.js | Point Tracking Behavior
four-point-drawarc-loop.js | Four Point Arc Loop
four-point-drawarc.js | Four Point Arc Drawing
fps-example.js | Frames Per Second Counter
gradient-example.js | Gradient Color Demonstration
grid-example.js | Interactive Grid System
hut-example.js | Spring-Connected Hut Structure
hyperway-stepper-example.js | Hyperway Step Animation
jelly-example.js | Jelly Wobble Physics
jiggle-double.js | Double Point Jiggle Effect
jiggle-plain.js | Simple Jiggle Animation
jiggle-pointlist.js | PointList Jiggle Animation
jiggle.js | Point Jiggle Effect
label-example-2.js | Point Label Text V2
lerp-pointlist-value-only.js | PointList Interpolation Values
line-connected-main.js | Connected Line Chain
line-rider-splits.js | Line Rider with Split Points
lookat-example.js | LookAt Point Direction
minimal-add-example.js | Minimal Point Addition
minimal-example.js | Most Minimal Example
mirror-class-example.js | Mirror Reflection with Class
mirror-example.js | Point Mirror Reflection
near-point-example.js | Nearest Point Detection
neural-net-rendering.js | Neural Network Visualization
ngon-example.js | N-Sided Polygon Generator
objects/balloon.js | Balloon Physics Object
objects/sphere.js | 3D Sphere Object
objects/spinplotter.js | Spinning Plot Object
objects/tetra.js | Tetrahedron Object
objects/vectorpoint.js | Vector Point Object
