# Title Mapping for Theatre Files
# Format: filename | suggested_title

anchor-line.js | Anchored Line with Distance Constraint
lorp.js | Bezier Curve Between Split Points
lorp-2.js | Bezier Curve Tube Between Points
throw-old.js | Point Collision with Mass and Rotation
throw.js | Elastic Collision with Friction
brain.js | Brain.js Neural Network Library
x-a.js | Experimental: SVG Path Command Builder
flapper.js | Flapping Wing Animation
hue-point.js | HSL Color Point Animation
motion-line-example.js | Motion Interpolation Line
motion-two-line.js | Dual Line Motion Tracking
rotation-field.js | Vector Rotation Field
turtle.js | Turtle Graphics Drawing
vector-field.js | Vector Field Visualization
iterator-example.js | Iterator Range Counter
timeline-example.js | Timeline with Keyframes
clip-draw-star.js | Clipping Path Star Example
easing-example.js | Easing Function Animation
overlap-example.js | Point Overlap Detection
recttools-example.js | Rectangle Tools API
text-aligned-example.js | Text Alignment with Points
timeit-example.js | Performance Timing Utility
widget-examples.js | UI Widget Components
polygon-bunkbed.js | Polygon Point-in-Polygon Test
within-polygon-test.js | Point Within Polygon Hit Test
bridged-line.js | Bridged Line Connection
bridged-loop.js | Bridged Loop Connection
anchor-line.js | Point Leash Distance Constraint
blur-example.js | Canvas Blur Filter
chars-example.js | Character Text Rendering
click-create-2.js | Click to Create Points
ellipse-example.js | Ellipse Drawing
ellipse-example-2.js | Ellipse with Rotation
ellipse-example-3.js | Ellipse Arc Rendering
ellipse-example-4.js | Ellipse Parametric Plot
hut-example.js | Spring-Connected Hut Structure
label-example.js | Point Label Text
lines-multi-examples.js | Multiple Line Types Demo
text-example-raw.js | Basic Text Rendering
