# Title Suggestions
# Format: filename | current_title | suggested_title

anchor-line.js | Example | class MainStage extends Stage {
blur-example.js | Blur Example | class MainStage extends Stage {
bridged-line.js | Example | class MainStage extends Stage {
bridged-loop.js | Example | class MainStage extends Stage {
chars-example.js | Char Example | class MainStage extends Stage {
click-create-2.js | Example | class MainStage extends Stage {
clip-draw-star.js | Clip Draw Star Example | Collected from mozila as an example of a clipping path:
easing-example.js | Easing Example | Interpolation
ellipse-example-2.js | Ellipse Example 2 | class MainStage extends Stage {
ellipse-example-3.js | Ellipse Example 3 | class MainStage extends Stage {
ellipse-example-4.js | Ellipse Example 4 | class MainStage extends Stage {
ellipse-example.js | Ellipse Example | class MainStage extends Stage {
flapper.js | Example | class MainStage extends Stage {
hue-point.js | Example | class MainStage extends Stage {
hut-example.js | Hut Example | with Gravity Spring
iterator-example.js | Iterator Example | An iterator can automatically count between a range.
label-example.js | Label Example | Gradient
lines-multi-examples.js | Lines Multi Examples | Spring Bezier Curve Catenary
motion-line-example.js | Example | class MotionLerp {
motion-two-line.js | Example | class MainStage extends Stage {
overlap-example.js | Overlap Example | with Gravity
polygon-bunkbed.js | Polgon hit-test | Click to draw connected lines (filling a `PointList`)
recttools-example.js | RectTools example | const rt = new RectTools(20, 20, 200, 200)
rotation-field.js | Example | class MainStage extends Stage {
text-aligned-example.js | Text Aligned Example | Collision Interpolation
text-example-raw.js | Text Example Raw | Gradient
timeit-example.js | TimeIt Class Example | The `TimeIt` class helps track time between two calls.
timeline-example.js | Timeline Example | A timeline should have keyframes -
turtle.js | Example | class MainStage extends Stage {
vector-field.js | Example | class MainStage extends Stage {
widget-examples.js | Widget Examples | addWidget('multi', {
within-polygon-test.js | Polgon hit-test | Click to draw connected lines (filling a `PointList`)
